Logged started on,19/07/2020 22:11:08
Feature,Gyroscope
Nodes,AM1V310 @395930

Date,HostTimestamp,NodeName,NodeTimestamp,RawData,X (dps),Y (dps),Z (dps)
19/07/2020 22:26:48.416,939869,AM1V310 @395930,57444,EFFFE6FF8EFF,-1.7,-2.6,-11.4
19/07/2020 22:26:48.447,939901,AM1V310 @395930,57451,30FF8C0048FF,-20.8,14,-18.4
19/07/2020 22:26:48.509,939963,AM1V310 @395930,57457,AAFF62FFECFE,-8.6,-15.8,-27.6
19/07/2020 22:26:48.567,940021,AM1V310 @395930,57463,B9FEB6FF54FF,-32.7,-7.4,-17.2
19/07/2020 22:26:48.596,940049,AM1V310 @395930,57469,25FFBDFEB4FF,-21.9,-32.3,-7.6
19/07/2020 22:26:48.687,940141,AM1V310 @395930,57476,83FFDE0039FF,-12.5,22.2,-19.9
19/07/2020 22:26:48.719,940173,AM1V310 @395930,57482,9FFF5B002DFF,-9.7,9.1,-21.1
19/07/2020 22:26:48.750,940203,AM1V310 @395930,57488,330048009AFE,5.1,7.2,-35.8
19/07/2020 22:26:48.806,940260,AM1V310 @395930,57494,34009000F9FD,5.2,14.4,-51.9
19/07/2020 22:26:48.867,940321,AM1V310 @395930,57501,70FF1600E7FE,-14.4,2.2,-28.1
19/07/2020 22:26:48.897,940350,AM1V310 @395930,57507,00007DFE40FF,0,-38.7,-19.2
19/07/2020 22:26:48.957,940410,AM1V310 @395930,57513,720012FF14FD,11.4,-23.8,-74.8
19/07/2020 22:26:49.048,940502,AM1V310 @395930,57519,060035FFF1FD,0.6,-20.3,-52.7
19/07/2020 22:26:49.048,940503,AM1V310 @395930,57526,C3FFD0FFCCFE,-6.1,-4.8,-30.8
19/07/2020 22:26:49.107,940561,AM1V310 @395930,57532,3F004D00FFFF,6.3,7.7,-0.1
19/07/2020 22:26:49.167,940621,AM1V310 @395930,57538,C000CD00F6FF,19.2,20.5,-1
19/07/2020 22:26:49.196,940650,AM1V310 @395930,57544,9E0043008300,15.8,6.7,13.1
19/07/2020 22:26:49.257,940710,AM1V310 @395930,57551,87005400C900,13.5,8.4,20.1
19/07/2020 22:26:49.317,940771,AM1V310 @395930,57557,14009CFFB800,2,-10,18.4
19/07/2020 22:26:49.349,940802,AM1V310 @395930,57563,5201F7FE8602,33.8,-26.5,64.6
19/07/2020 22:26:49.408,940861,AM1V310 @395930,57569,98FF94FFCB01,-10.4,-10.8,45.9
19/07/2020 22:26:49.467,940921,AM1V310 @395930,57576,3E01AAFFB901,31.8,-8.6,44.1
19/07/2020 22:26:49.497,940950,AM1V310 @395930,57582,5C01F6FF9701,34.8,-1,40.7
19/07/2020 22:26:49.559,941013,AM1V310 @395930,57588,2F013A000B01,30.3,5.8,26.7
19/07/2020 22:26:49.617,941071,AM1V310 @395930,57594,69016400A101,36.1,10,41.7
19/07/2020 22:26:49.646,941100,AM1V310 @395930,57601,E90097007A01,23.3,15.1,37.8
19/07/2020 22:26:49.706,941160,AM1V310 @395930,57607,26016B01E000,29.4,36.3,22.4
19/07/2020 22:26:49.769,941223,AM1V310 @395930,57613,6600B9010301,10.2,44.1,25.9
19/07/2020 22:26:49.799,941252,AM1V310 @395930,57619,E1FF2F027401,-3.1,55.9,37.2
19/07/2020 22:26:49.857,941310,AM1V310 @395930,57626,2E0054012301,4.6,34,29.1
19/07/2020 22:26:49.917,941371,AM1V310 @395930,57632,7800CD00DC00,12,20.5,22
19/07/2020 22:26:49.949,941402,AM1V310 @395930,57638,FCFF5D018001,-0.4,34.9,38.4
19/07/2020 22:26:50.006,941460,AM1V310 @395930,57644,5100EB008900,8.1,23.5,13.7
19/07/2020 22:26:50.070,941524,AM1V310 @395930,57651,AD01C400ECFE,42.9,19.6,-27.6
19/07/2020 22:26:50.100,941553,AM1V310 @395930,57657,C4FFB6005600,-6,18.2,8.6
19/07/2020 22:26:50.157,941610,AM1V310 @395930,57663,0D00DAFFD1FF,1.3,-3.8,-4.7
19/07/2020 22:26:50.217,941671,AM1V310 @395930,57669,E0FF96005A00,-3.2,15,9
19/07/2020 22:26:50.246,941700,AM1V310 @395930,57676,5BFE4CFFD6FE,-42.1,-18,-29.8
19/07/2020 22:26:50.306,941760,AM1V310 @395930,57682,2CFF41FFCAFE,-21.2,-19.1,-31
19/07/2020 22:26:50.367,941821,AM1V310 @395930,57688,C9FFA1FFCCFE,-5.5,-9.5,-30.8
19/07/2020 22:26:50.399,941852,AM1V310 @395930,57694,7A00000037FF,12.2,0,-20.1
19/07/2020 22:26:50.456,941909,AM1V310 @395930,57701,75FF4D00A1FF,-13.9,7.7,-9.5
19/07/2020 22:26:50.516,941970,AM1V310 @395930,57707,44FF0E003AFF,-18.8,1.4,-19.8
19/07/2020 22:26:50.546,941999,AM1V310 @395930,57713,62FFFAFF90FE,-15.8,-0.6,-36.8
19/07/2020 22:26:50.607,942061,AM1V310 @395930,57719,6100C6FFC1FE,9.7,-5.8,-31.9
19/07/2020 22:26:50.666,942120,AM1V310 @395930,57726,2C00E1FECFFE,4.4,-28.7,-30.5
19/07/2020 22:26:50.696,942149,AM1V310 @395930,57732,B4FF55FDCFFE,-7.6,-68.3,-30.5
19/07/2020 22:26:50.756,942210,AM1V310 @395930,57738,6FFFB1FDDDFE,-14.5,-59.1,-29.1
19/07/2020 22:26:50.816,942270,AM1V310 @395930,57744,19FF71FD2DFE,-23.1,-65.5,-46.7
19/07/2020 22:26:50.846,942300,AM1V310 @395930,57751,B6008BFE86FD,18.2,-37.3,-63.4
19/07/2020 22:26:50.906,942360,AM1V310 @395930,57757,0400C2FD7DFD,0.4,-57.4,-64.3
19/07/2020 22:26:50.966,942420,AM1V310 @395930,57763,E1FE1C0011FD,-28.7,2.8,-75.1
19/07/2020 22:26:50.996,942449,AM1V310 @395930,57769,5FFF0F000700,-16.1,1.5,0.7
19/07/2020 22:26:51.056,942510,AM1V310 @395930,57776,B8FE14010800,-32.8,27.6,0.8
19/07/2020 22:26:51.147,942601,AM1V310 @395930,57782,DEFF88002000,-3.4,13.6,3.2
19/07/2020 22:26:51.170,942623,AM1V310 @395930,57788,1F0073010200,3.1,37.1,0.2
19/07/2020 22:26:51.207,942660,AM1V310 @395930,57794,2000CE00D1FF,3.2,20.6,-4.7
19/07/2020 22:26:51.266,942720,AM1V310 @395930,57801,C3FF3A000000,-6.1,5.8,0
19/07/2020 22:26:51.297,942751,AM1V310 @395930,57807,3E0007008200,6.2,0.7,13
19/07/2020 22:26:51.357,942810,AM1V310 @395930,57813,810010002500,12.9,1.6,3.7
19/07/2020 22:26:51.417,942871,AM1V310 @395930,57819,AC00FFFFD700,17.2,-0.1,21.5
19/07/2020 22:26:51.450,942903,AM1V310 @395930,57826,3F00B7FE0801,6.3,-32.9,26.4
19/07/2020 22:26:51.510,942963,AM1V310 @395930,57832,600027FF1801,9.6,-21.7,28
19/07/2020 22:26:51.566,943020,AM1V310 @395930,57838,9A00B3FE2701,15.4,-33.3,29.5
19/07/2020 22:26:51.596,943050,AM1V310 @395930,57844,8C0079FF0501,14,-13.5,26.1
19/07/2020 22:26:51.659,943113,AM1V310 @395930,57851,090087FD3202,0.9,-63.3,56.2
19/07/2020 22:26:51.717,943171,AM1V310 @395930,57857,410117FF3302,32.1,-23.3,56.3
19/07/2020 22:26:51.747,943200,AM1V310 @395930,57863,070133FF3201,26.3,-20.5,30.6
19/07/2020 22:26:51.807,943260,AM1V310 @395930,57869,D90073FF6401,21.7,-14.1,35.6
19/07/2020 22:26:51.867,943321,AM1V310 @395930,57876,770026FD1003,11.9,-73,78.4
19/07/2020 22:26:51.897,943351,AM1V310 @395930,57882,F500CDFFB201,24.5,-5.1,43.4
19/07/2020 22:26:51.956,943409,AM1V310 @395930,57888,0B001600B701,1.1,2.2,43.9
19/07/2020 22:26:52.017,943471,AM1V310 @395930,57894,8FFFE9FFBF00,-11.3,-2.3,19.1
19/07/2020 22:26:52.048,943501,AM1V310 @395930,57901,8CFFE8FF1100,-11.6,-2.4,1.7
19/07/2020 22:26:52.107,943561,AM1V310 @395930,57907,5E0025006500,9.4,3.7,10.1
19/07/2020 22:26:52.167,943621,AM1V310 @395930,57913,D6FF18006000,-4.2,2.4,9.6
19/07/2020 22:26:52.196,943650,AM1V310 @395930,57919,430098001700,6.7,15.2,2.3
19/07/2020 22:26:52.257,943711,AM1V310 @395930,57926,6E00BD001700,11,18.9,2.3
19/07/2020 22:26:52.317,943771,AM1V310 @395930,57932,890015011E00,13.7,27.7,3
19/07/2020 22:26:52.347,943800,AM1V310 @395930,57938,0D01B70137FF,26.9,43.9,-20.1
19/07/2020 22:26:52.406,943860,AM1V310 @395930,57944,93009A0146FF,14.7,41,-18.6
19/07/2020 22:26:52.467,943921,AM1V310 @395930,57951,11001602CDFF,1.7,53.4,-5.1
19/07/2020 22:26:52.497,943951,AM1V310 @395930,57957,35009A02F2FF,5.3,66.6,-1.4
19/07/2020 22:26:52.556,944010,AM1V310 @395930,57963,C4007302A9FF,19.6,62.7,-8.7
19/07/2020 22:26:52.617,944071,AM1V310 @395930,57969,070188010000,26.3,39.2,0
19/07/2020 22:26:52.647,944100,AM1V310 @395930,57976,0CFF58000EFF,-24.4,8.8,-24.2
19/07/2020 22:26:52.709,944163,AM1V310 @395930,57982,42FF93FFF2FE,-19,-10.9,-27
19/07/2020 22:26:52.767,944221,AM1V310 @395930,57988,4A011E01C6FF,33,28.6,-5.8
19/07/2020 22:26:52.796,944249,AM1V310 @395930,57994,070031012B00,0.7,30.5,4.3
19/07/2020 22:26:52.857,944311,AM1V310 @395930,58001,8800C8FFEFFF,13.6,-5.6,-1.7
19/07/2020 22:26:52.917,944371,AM1V310 @395930,58007,7000F6FCB3FF,11.2,-77.8,-7.7
19/07/2020 22:26:52.947,944401,AM1V310 @395930,58013,09000EFF5600,0.9,-24.2,8.6
19/07/2020 22:26:53.007,944460,AM1V310 @395930,58019,2C0078009200,4.4,12,14.6
19/07/2020 22:26:53.067,944521,AM1V310 @395930,58026,74008600C2FF,11.6,13.4,-6.2
19/07/2020 22:26:53.097,944551,AM1V310 @395930,58032,57014401C9FD,34.3,32.4,-56.7
19/07/2020 22:26:53.157,944611,AM1V310 @395930,58038,CF0033011400,20.7,30.7,2
19/07/2020 22:26:53.217,944671,AM1V310 @395930,58044,EAFF4900E900,-2.2,7.3,23.3
19/07/2020 22:26:53.247,944700,AM1V310 @395930,58051,C4FF02001C01,-6,0.2,28.4
19/07/2020 22:26:53.306,944760,AM1V310 @395930,58057,F7FFE0FF7300,-0.9,-3.2,11.5
19/07/2020 22:26:53.366,944821,AM1V310 @395930,58063,E7FF2C005DFF,-2.5,4.4,-16.3
19/07/2020 22:26:53.397,944850,AM1V310 @395930,58069,2C0019002AFF,4.4,2.5,-21.4
19/07/2020 22:26:53.486,944939,AM1V310 @395930,58076,C4FFF5FFB1FF,-6,-1.1,-7.9
19/07/2020 22:26:53.515,944969,AM1V310 @395930,58082,54FDDC01EBFB,-68.4,47.6,-104.5
19/07/2020 22:26:53.546,945000,AM1V310 @395930,58088,A5FFE5FD07FF,-9.1,-53.9,-24.9
19/07/2020 22:26:53.606,945060,AM1V310 @395930,58094,E0FF54FFFEFE,-3.2,-17.2,-25.8
19/07/2020 22:26:53.667,945121,AM1V310 @395930,58101,99FFDBFFB0FD,-10.3,-3.7,-59.2
19/07/2020 22:26:53.697,945150,AM1V310 @395930,58107,7800A10171FE,12,41.7,-39.9
19/07/2020 22:26:53.759,945213,AM1V310 @395930,58113,BFFFD30064FE,-6.5,21.1,-41.2
19/07/2020 22:26:53.817,945271,AM1V310 @395930,58119,5E009F00ADFF,9.4,15.9,-8.3
