sr_no,HostTimestamp,NodeTimestamp_x,X_mg,Y_mg,Z_mg,X_mGa,Y_mGa,Z_mGa,X_dps,Y_dps,Z_dps,move_type
64,770840,108134,-71,-1003,29,283,-231,-294,-5.1,-5.3,0.9,L
65,770870,108140,-74,-1006,13,283,-238,-301,-2.7,-2.6,0.2,L
66,770930,108146,-59,-1000,24,286,-235,-307,-1.1,-2.8,-0.2,L
67,770990,108153,-51,-984,-20,285,-243,-300,-3,0,0.8,L
68,771020,108159,-50,-989,18,288,-243,-303,-0.5,0,0.1,L
69,771080,108165,-35,-994,36,285,-234,-301,1.4,1.2,0.3,L
70,771140,108171,-33,-1003,55,285,-243,-300,-0.7,0.7,1,L
71,771170,108178,-40,-1009,34,276,-231,-304,-0.3,-1.4,-1.1,L
72,771230,108184,-52,-1010,49,280,-232,-309,-1.6,-3.5,-1.8,L
73,771290,108190,-51,-999,7,270,-234,-301,-3.3,1.3,0,L
74,771320,108196,-46,-1002,46,280,-232,-301,-3.7,-0.9,-0.7,L
75,771380,108203,-43,-999,25,282,-225,-301,-1.4,0.7,-3.1,L
76,771441,108209,-43,-1000,41,282,-238,-304,-2.8,-0.7,-1.3,L
77,771475,108215,-43,-1000,41,282,-238,-304,-3.7,0.4,0,L
78,771530,108221,-27,-985,17,283,-243,-297,-2.7,-1,1.4,L
79,771591,108228,-57,-996,14,277,-237,-298,0,-1.1,2.5,L
80,771620,108234,-53,-982,24,289,-243,-303,3.7,-2.8,-0.2,L
81,771680,108240,-38,-975,39,280,-241,-303,11.4,-3.3,3.4,L
82,771740,108246,-38,-975,39,282,-241,-312,15.6,-7.9,5.2,L
83,771770,108253,-81,-975,-5,265,-235,-327,28.2,-14.3,7.9,L
84,771830,108259,-87,-977,83,261,-241,-342,45.5,-29.4,8.9,L
1,522804,70440,136,67,1001,-316,-451,-45,1.3,-0.7,3.2,L
2,522833,70446,128,59,1007,-313,-451,-46,-1.4,1.6,1.9,L
3,522895,70452,128,59,1007,-316,-450,-52,0.1,-0.2,1.6,L
4,522954,70459,116,62,1001,-312,-447,-40,-0.5,-0.9,2.1,L
5,523014,70465,133,67,998,-315,-448,-48,-0.1,-0.2,0.9,L
6,523043,70471,129,73,1008,-319,-447,-45,-0.5,0.4,1.8,L
7,523104,70477,107,67,1007,-315,-451,-46,-0.1,-0.8,2.5,L
8,523133,70484,133,71,1009,-316,-445,-49,-1.3,0.4,3.1,L
9,523194,70490,122,59,1003,-316,-451,-46,-1.2,0,2.9,L
10,523284,70496,122,59,1003,-316,-451,-46,-0.6,-1.1,2.9,L
11,523313,70502,122,58,1007,-313,-445,-51,0.6,-1.4,2.7,L
12,523343,70509,102,58,994,-316,-447,-40,1.8,-2.1,3.2,L
13,523404,70515,137,79,1011,-315,-453,-46,2.8,-0.8,2.2,L
14,523433,70521,129,69,1009,-309,-445,-52,1,0,1.8,L
15,523494,70527,121,61,1004,-309,-445,-52,1.2,-0.9,2.1,L
16,523554,70534,129,51,992,-312,-456,-43,0.2,-1.6,3.1,L
17,523584,70540,124,61,1001,-324,-448,-46,0.5,-0.8,1.5,L
18,523644,70546,164,71,995,-315,-459,-42,4.1,-5.1,3.2,L
19,523703,70552,164,71,995,-316,-450,-46,-0.2,0.4,2.1,L
20,523734,70559,132,69,1017,-313,-454,-43,1.5,-2.2,3.5,L
21,523794,70565,130,65,1009,-313,-453,-49,-0.7,-1.8,2.4,L
22,523854,70571,130,65,1009,-313,-453,-49,-0.8,-1.6,1.7,L
23,523883,70577,138,81,1013,-319,-465,-30,1.9,-3,1.6,L
24,523944,70584,116,114,985,-312,-447,-36,1.4,-1.4,1.1,L
25,524005,70590,71,466,1028,-310,-453,-31,19.7,-17.2,17.3,L
26,524034,70596,324,804,1130,-300,-465,-24,23.8,-30.8,49.5,L
27,524094,70602,324,804,1130,-300,-465,-24,7.1,-9.2,65.7,L
28,524154,70609,214,367,1122,-253,-474,-27,-8.1,14.6,87.4,L
29,524184,70615,21,-92,863,-216,-478,-45,-6.6,0.6,95.3,L
30,524244,70621,21,-92,863,-186,-481,-37,36.2,-35,104,L
31,524304,70627,132,-180,969,-156,-481,-31,15.5,-17.7,97.4,L
32,524334,70634,55,-346,893,-136,-483,-30,-17.4,9.7,68.5,L
33,524394,70640,55,-346,893,-136,-483,-30,-15.9,7.7,53.4,L
34,524454,70646,103,-359,813,-105,-477,-42,-10.3,8.8,31.7,L
35,524484,70652,166,-187,958,-100,-474,-42,-8.1,16.7,17.6,L
36,524544,70659,166,-187,958,-100,-474,-42,-12.5,27.2,2.7,L
37,524605,70665,142,-91,1069,-99,-468,-48,-1.7,14.1,-0.1,L
38,524633,70671,138,-53,1066,-96,-474,-58,-2.1,7.9,-6.1,L
39,524694,70677,138,-53,1066,-105,-466,-54,-0.4,2.1,-7.5,L
40,524754,70684,182,18,1073,-105,-466,-54,-2.5,1.9,-6.5,L
41,524783,70690,163,-17,980,-97,-469,-57,3,-1,-4.6,L
42,524844,70696,195,15,1022,-99,-459,-55,0.6,-1.4,0,L
43,524904,70702,185,-21,998,-99,-468,-60,-3.3,0.4,1.7,L
44,524933,70709,185,-49,982,-111,-468,-60,-1.3,1.6,1,L
45,524993,70715,173,-34,994,-111,-468,-60,0.2,3.7,2,L
46,525054,70721,149,-70,986,-102,-465,-61,-2.9,5.3,1.1,L
47,525084,70727,128,-50,1015,-103,-463,-58,6.1,-4.3,2.3,L
48,525145,70734,165,-17,1027,-106,-465,-61,3.6,-0.7,-2.8,L
49,525204,70740,171,-21,1002,-103,-457,-64,3.4,-0.9,-1.7,L
50,525233,70746,173,-21,997,-117,-466,-61,1,-2.7,1.4,L
51,525295,70752,188,-24,981,-106,-477,-63,-1.1,-0.4,-0.2,L
52,525354,70759,181,-32,972,-112,-472,-64,0.8,-1.9,3.7,L
53,525383,70765,174,-34,980,-114,-462,-61,0.2,1.4,2.7,L
54,525446,70771,174,-34,980,-114,-462,-61,0.5,3.4,1.5,L
55,525503,70777,164,-17,1013,-109,-462,-63,-0.5,1.4,2.8,L
56,525534,70784,146,-41,999,-105,-463,-67,-0.4,1,2.1,L
57,525599,70790,150,-20,1018,-105,-469,-69,2.3,-0.7,2.8,L
58,525655,70796,148,-31,1014,-105,-471,-66,-0.7,1,1.2,L
59,525780,70809,154,-42,992,-105,-469,-67,1.6,0.1,0,L
60,525780,70802,154,-42,992,-105,-469,-67,0,-0.1,1.8,L
61,525805,70815,167,-10,1011,-109,-463,-67,2.6,0.1,1.4,L
62,525906,70821,130,-55,986,-123,-465,-63,-0.7,2.4,-0.4,L
63,525906,70827,130,-55,986,-123,-465,-63,2.5,-1.2,0.4,L
64,525956,70834,182,-10,1009,-112,-471,-61,0.2,-0.9,1.8,L
65,525986,70840,150,-34,1001,-111,-463,-64,-2.6,1.9,0.7,L
66,526043,70846,165,-18,1010,-114,-469,-66,0.3,-1.1,1.8,L
67,526104,70852,167,-25,1001,-114,-466,-64,-0.7,0.4,0.1,L
68,526133,70859,153,-39,979,-112,-474,-75,-2,0,0.5,L
